#period	period time	calc time
1	3503	1254
2	2747	1751
3	2996	2256
4	3000	1004
5	3252	1248
6	2741	1500
7	3749	1502
8	2249	1262
9	3248	1252
10	2751	1498
11	3247	1748
12	3000	1747
13	2996	1506
14	2996	2250
15	3246	1757
16	2749	1751
17	2994	1500
18	2997	2257
19	3251	1751
20	2751	1501
21	2998	1499
22	2997	2248
23	2994	2014
24	3750	1502
25	2251	1498
26	2996	1751
27	3003	1744
28	2991	1511
29	2998	1751
30	2997	2255
31	3747	1751
32	2250	1501
33	2997	1495
34	3008	2243
35	3744	1745
36	2241	1504
37	2999	1503
38	2998	2250
39	3752	1748
40	2495	1506
41	2748	1501
42	2998	2251
43	3744	1753
44	2251	1504
45	3000	1500
46	2996	2249
47	3746	1751
48	2248	1504
49	2999	1501
50	3002	1997
51	3493	1751
52	2499	1503
53	2997	1502
54	2998	2000
55	3498	1751
56	2498	1503
57	2998	1501
58	2998	2001
59	3497	1756
60	2500	1502
61	2997	1502
62	2998	2000
63	3498	1751
64	2498	1253
65	3253	1498
66	2744	1751
67	3247	2002
68	2749	1751
69	3258	1750
70	2988	2002
71	3005	1993
72	2740	1754
73	3498	1749
74	2746	2010
75	3008	1741
76	2990	1746
77	2997	1752
78	2998	2001
79	3006	1997
80	2990	1752
81	2997	1751
82	2998	2001
83	3496	2002
84	2504	1499
85	2993	1501
86	2748	3001
87	3498	1751
88	2498	1753
89	3252	1498
90	2744	3000
91	3498	1750
92	2747	1503
93	2998	1751
94	3000	2249
95	2996	2000
96	2997	1753
97	2998	1751
98	2998	1756
99	2997	2002
100	2999	1752
101	2997	1749
102	2997	1999
103	3250	2009
104	2499	1502
105	3246	1751
106	2997	2002
107	3000	2012
108	2996	1760
109	2996	1755
110	3002	1998
111	3247	2500
112	2749	1502
113	3001	1752
114	2995	1749
115	3245	2502
116	2752	1501
117	2995	1500
118	2997	1755
119	3248	2753
120	2756	1494
121	2989	1501
122	2998	1750
123	3251	2747
124	2994	1752
125	2748	1751
126	2997	1751
127	3248	2760
128	2765	1487
129	2981	1502
130	2998	1752
131	3248	2754
132	2757	1494
133	2993	1499
134	2994	1752
135	3248	2752
136	2755	1495
137	3003	1491
138	2992	1741
139	3241	2753
140	2757	1494
141	2989	1500
142	2997	1763
143	3250	2753
144	2757	1493
145	2989	1501
146	2998	2001
147	3248	2502
148	2749	1502
149	2997	1502
150	2998	2001
151	3248	2753
152	2757	1751
153	2990	1751
154	2997	2001
155	3247	2501
156	2745	1505
157	3001	1257
158	2999	2000
159	3246	2502
160	2749	1503
161	2998	1251
162	3003	2000
163	3243	2501
164	2751	1501
165	2993	1501
166	2999	2003
